,Jefferson (N=12),University of Cincinnati (N=4),Total (N=16),p value
Age,,,,0.593
   Mean (SD),67.3 (14.4),71.5 (9.5),68.3 (13.1),
   Range,31.0 - 89.0,61.0 - 80.0,31.0 - 89.0,
Gender,,,,0.551
   Male,7.0 (58.3%),3.0 (75.0%),10.0 (62.5%),
   Female,5.0 (41.7%),1.0 (25.0%),6.0 (37.5%),
Race,,,,0.551
   White or Caucasian,11.0 (91.7%),4.0 (100.0%),15.0 (93.8%),
   Indian,1.0 (8.3%),0.0 (0.0%),1.0 (6.2%),
Smoking,,,,0.522
   Currently smoking,1.0 (8.3%),1.0 (25.0%),2.0 (12.5%),
   Past smoker,4.0 (33.3%),3.0 (75.0%),7.0 (43.8%),
   Non-smoker,1.0 (8.3%),0.0 (0.0%),1.0 (6.2%),
   Never smoked,4.0 (33.3%),0.0 (0.0%),4.0 (25.0%),
   Marijuana,1.0 (8.3%),0.0 (0.0%),1.0 (6.2%),
   Betel nut,1.0 (8.3%),0.0 (0.0%),1.0 (6.2%),
Alcohol,,,,0.118
   Current drinker,3.0 (25.0%),2.0 (50.0%),5.0 (31.2%),
   Past drinker,2.0 (16.7%),2.0 (50.0%),4.0 (25.0%),
   Non-drinker,7.0 (58.3%),0.0 (0.0%),7.0 (43.8%),
Primary Disease Site,,,,0.029
   Oral Cavity,9.0 (75.0%),0.0 (0.0%),9.0 (56.2%),
   Oropharynx,2.0 (16.7%),2.0 (50.0%),4.0 (25.0%),
   Larynx,1.0 (8.3%),2.0 (50.0%),3.0 (18.8%),
Tumor Stage at Initial Diagnosis,,,,0.423
   I,1.0 (8.3%),0.0 (0.0%),1.0 (6.2%),
   II,3.0 (25.0%),1.0 (25.0%),4.0 (25.0%),
   III,1.0 (8.3%),0.0 (0.0%),1.0 (6.2%),
   IVA,6.0 (50.0%),1.0 (25.0%),7.0 (43.8%),
   Unknown,1.0 (8.3%),2.0 (50.0%),3.0 (18.8%),
